"Variable" "t" "t+1" "t+2" "t+3" "t+5" "long-terme"
"1" "GDP (a)" -0.644 -1.033 -1.213 -1.27 -1.253 -1.3
"2" "Households consumption (a)" -1.482 -2.236 -2.468 -2.416 -2.038 -1.384
"3" "Investment (a)" -0.768 -1.377 -1.73 -1.873 -1.828 -0.692
"4" "Exports (a)" 0.139 0.058 -0.12 -0.331 -0.749 -1.992
"5" "Imports (a)" -1.01 -1.625 -1.88 -1.902 -1.641 -0.689
"6" "Price of VA (a)" -0.515 0.467 1.235 1.887 2.991 5.121
"7" "Consumption price (a)" 2.872 3.59 4.105 4.523 5.225 6.657
"8" "Production price (a)" 1.148 1.942 2.546 3.054 3.924 5.677
"9" "Export price (a)" 1.957 3.241 4.082 4.641 5.362 6.686
"10" "Import price (a)" 7.083 6.83 6.689 6.618 6.582 6.649
"11" "Households disposable income (a)" 0.536 1.052 1.66 2.252 3.295 5.184
"12" "Nominal wages (a)" -0.028 0.711 1.615 2.471 3.846 6.124
"13" "Households saving rate (a)" -9.723 -2.642 1.466 2.995 2.507 0.026
"14" "Employment in thousand (b)" -31.65 -85.57 -140.37 -186.1 -249.9 -410.43
"15" "Trade balance (c)" -2.835 -2.183 -1.853 -1.716 -1.692 -1.984
"16" "government balance (c)" -2.983 -3.471 -3.35 -3.23 -3.065 -2.82
"17" "Households saving rate (d)" 6.92 7.463 7.778 7.895 7.857 7.667
"18" "Unemployment rate (d)" 10.485 10.623 10.755 10.859 10.994 11.289
