"Variable" "t" "t+1" "t+2" "t+3" "t+5" "long-terme"
"1" "PIB (a)" -0.644 -1.033 -1.213 -1.27 -1.253 -1.3
"2" "Consommation des ménages (a)" -1.482 -2.236 -2.468 -2.416 -2.038 -1.384
"3" "Investissement (a)" -0.768 -1.377 -1.73 -1.873 -1.828 -0.692
"4" "Exportations (a)" 0.139 0.058 -0.12 -0.331 -0.749 -1.992
"5" "Importations (a)" -1.01 -1.625 -1.88 -1.902 -1.641 -0.689
"6" "Prix de VA (a)" -0.515 0.467 1.235 1.887 2.991 5.121
"7" "Prix à la consommation (a)" 2.872 3.59 4.105 4.523 5.225 6.657
"8" "Prix à la production (a)" 1.148 1.942 2.546 3.054 3.924 5.677
"9" "Prix des exportations (a)" 1.957 3.241 4.082 4.641 5.362 6.686
"10" "Prix des importations (a)" 7.083 6.83 6.689 6.618 6.582 6.649
"11" "Revenu des ménages en valeur (a)" 0.536 1.052 1.66 2.252 3.295 5.184
"12" "Salaire (a)" -0.028 0.711 1.615 2.471 3.846 6.124
"13" "Taux d'épargne des ménages (a)" -9.723 -2.642 1.466 2.995 2.507 0.026
